Query,Results,Title,Type,CreateDate
Contemporary Issues in Okinawa looking back the History,872,plantedforestanddiverseculturesinecologicalvillageplanningacasestudyintaramaislandokinawaprefecturejapan,article,2013
Contemporary Issues in Okinawa looking back the History,872,reminiscencesofajourneytookinawalandscapefilmasessayandtakaminegsokinawandreamshow1974,article,2021
Contemporary Issues in Okinawa looking back the History,872,visualizingimmobilityinpostreversionokinawaacomparativestudyofndusasiaisone1973andchinenseishinsthehumanpavilion1976,article,2021
Contemporary Issues in Okinawa looking back the History,872,resurgentscreateamorallandscapeindigenousresurgenceandeverydaypracticesoffarminginokinawa,article,2020
Contemporary Issues in Okinawa looking back the History,872,fromhawaiitookinawaconfrontingmilitarizationhealingtraumastrengtheningsolidarity,article,2021
Contemporary Issues in Okinawa looking back the History,872,coccosmusicalinterventionintheusbaseproblemstraversingarealmofeverydayculturalsensibilitiesinokinawa,article,2011
Contemporary Issues in Okinawa looking back the History,872,reemergingvoicesandreimaginedlandscapesaninterviewwithchikakoyamashiro,article,2021
Contemporary Issues in Okinawa looking back the History,872,uchinaapopplaceandidentityincontemporaryokinawanpopularmusic,article,2001
Contemporary Issues in Okinawa looking back the History,872,identitypoliticsinokinawanelectionstheemergenceofregionalpopulism,article,2021
Contemporary Issues in Okinawa looking back the History,872,ascoreofbloodyokinawasandiwojimaspresidenttrumanandcasualtyestimatesfortheinvasionofjapan,article,2003
Contemporary Issues in Okinawa looking back the History,872,thecompoundstateandthedoubleprojectofmodernityareviewofthetwentiethcenturyeastasianhistory,article,2013
Contemporary Issues in Okinawa looking back the History,872,okinawaasanintersectionofcolonialismstowardcreatingaplaceopentoandinterconnectingwithasia,article,2013
Contemporary Issues in Okinawa looking back the History,872,thesacrificeofaschoolgirlthe1995rapecasediscoursesofpowerandwomenslivesinokinawa,article,2001
Contemporary Issues in Okinawa looking back the History,872,forminganactivismbubbleintourismpeaceguidingatokinawasbattleruins,article,2012
Contemporary Issues in Okinawa looking back the History,872,managingtheusbaseissueinokinawaatestforjapanesedemocracy,article,2000
Contemporary Issues in Okinawa looking back the History,872,thetiesthatbindrepresentationsofokinawaandtheusmilitaryinamericanpopularculture,article,2011
Contemporary Issues in Okinawa looking back the History,872,apparatusesofoccupationtranslocalsocialmovementsstatesandthearchipelagicspatialitiesofpower,article,2017
Contemporary Issues in Okinawa looking back the History,872,landscapeandthecrisisofrepresentationinnakaeyjispanarinite1986,article,2021
Contemporary Issues in Okinawa looking back the History,872,thehiroshimapanelsvisualizeviolenceimaginationoverlife,article,2019
Contemporary Issues in Okinawa looking back the History,872,themediarepresentationofokinawaandusjapanhegemony1,article,2003
Contemporary Issues in Okinawa looking back the History,872,alivinglegacythedevelopmentofmodernokinawanpoetry,article,2011
Contemporary Issues in Okinawa looking back the History,872,japansmilitarizationandokinawasbasesmakingpeace,article,2000
Contemporary Issues in Okinawa looking back the History,872,virtualdiscoursesofhistorycollagenarrativeordocumentsinchrismarkerslevel5,article,2000
Contemporary Issues in Okinawa looking back the History,872,whatasianamericanstudiescanlearnfromasiatowardsaprojectofcomparativeminoritystudies,article,2012
Contemporary Issues in Okinawa looking back the History,872,betweenmodernityandprimitivityokinawanidentityinrelationtojapanandthesouthpacific,article,2006
Contemporary Issues in Okinawa looking back the History,872,takaminegoapossibleokinawancinema1,article,2006
Contemporary Issues in Okinawa looking back the History,872,singingdiasporaokinawansongsofhomedepartureandreturn,article,2010
Contemporary Issues in Okinawa looking back the History,872,anexchangeoncurrentaffairs,article,2002
Contemporary Issues in Okinawa looking back the History,872,yaeyamafromperipheryoftherykystofrontierofjapan,article,2008
Contemporary Issues in Okinawa looking back the History,872,themechanismsofethnicretentionlatergenerationjapaneseimmigrantsinlimaperu,article,2003
Contemporary Issues in Okinawa looking back the History,872,originsofaraggededgeusambiguityonthesenkakussovereignty,article,2019
Contemporary Issues in Okinawa looking back the History,872,sovereigntyatguantnamonewevidenceandacomparativehistoricalinterpretation,article,2013
Contemporary Issues in Okinawa looking back the History,872,okinawairredentaonthepacific,article,1962
Contemporary Issues in Okinawa looking back the History,872,okinawabeforeandsincereversion,article,1980
Contemporary Issues in Okinawa looking back the History,872,geographicalboundariesoftheryukyuislandsananalysis,article,2013
Contemporary Issues in Okinawa looking back the History,872,anexchangeoncurrentaffairsoekenzaburonoamchomsky,article,2002
Contemporary Issues in Okinawa looking back the History,872,weareokinawansbutofadifferentkindnewoldsocialmovementsandtheusmilitaryinokinawa1commentsreply,article,2004
Contemporary Issues in Okinawa looking back the History,872,anewtextbooksolutiontoeastasiashistorywarassessingcivilsocietyreconciliationeffortsandtheneweastasianmodernandcontemporaryhistory,article,2014
Contemporary Issues in Okinawa looking back the History,872,acommentaryonbluezonesracriticalreviewofagefriendlyenvironmentsinthe21stcenturyandbeyond,article,2021
Contemporary Issues in Okinawa looking back the History,872,thehivaidspandemichumanrightssocietalanddevelopmentalissues,article,2000
Contemporary Issues in Okinawa looking back the History,872,guam,article,2007
Contemporary Issues in Okinawa looking back the History,872,okinawanconsciousnessandidentitysalienceanddevelopmentamongokinawanuniversitystudentsstudyinginhawaii,article,2018
Contemporary Issues in Okinawa looking back the History,872,exploitedandmobilizedpovertyandworkincontemporarymanga,article,2011
Contemporary Issues in Okinawa looking back the History,872,northeastasiasnewhistoryspiral,article,2016
Contemporary Issues in Okinawa looking back the History,872,futureimagesofcontemporaryokiislandsyouth,article,2019
The Global Effect of Black Tuesday,9930,weeklycyclesofglobalfiresassociationswithreligionwealthandcultureandinsightsintoanthropogenicinfluencesonglobalclimate,article,2015
The Global Effect of Black Tuesday,9930,oilpricevolatilitytheglobalfinancialcrisisandthedayoftheweekeffect,article,2011
The Global Effect of Black Tuesday,9930,distributionandhealthrisksofaerosolblackcarboninarepresentativecityoftheqinghaitibetplateau,article,2018
The Global Effect of Black Tuesday,9930,assessmentoftheintegratedpersonalexposuretoparticulateemissionsinurbanmicroenvironmentsapilotstudy,article,2020
The Global Effect of Black Tuesday,9930,driversofglobalclearskysurfacedownwellinglongwaveirradiancetrendsfrom1984to2017,article,2021
The Global Effect of Black Tuesday,9930,effectsofwebbasedinstructiononmathanxietythesenseofmasteryandglobalselfesteemaquasiexperimentalstudyofundergraduatestatisticsstudents,article,2006
The Global Effect of Black Tuesday,9930,newsmediaandtheracializationofprotestananalysisofblacklivesmatterarticles,article,2017
The Global Effect of Black Tuesday,9930,thegreenhouseeffectmultispecieschildhoodandnoninnocentrelationsofcare,article,2019
The Global Effect of Black Tuesday,9930,dnahypomethylationinassociationwithinternalandexternalmarkersoftrafficexposureinapanelofhealthyadults,article,2018
The Global Effect of Black Tuesday,9930,synthesisofa33yrseriesofwholelakeexperimentseffectsofnutrientsgrazersandprecipitationdrivenwatercoloronchlorophyll,article,2018
The Global Effect of Black Tuesday,9930,primateslivingoutsideprotectedhabitatsaremorestressedthecaseofblackhowlermonkeysintheyucatanpeninsula,article,2014
The Global Effect of Black Tuesday,9930,environmentalsuitabilityofvibrioinfectionsinawarmingclimateanearlywarningsystem,article,2017
The Global Effect of Black Tuesday,9930,theblackseaphysicsanalysisandforecastingsystemwithintheframeworkofthecopernicusmarineservice,article,2022
The Global Effect of Black Tuesday,9930,predictingvulnerabilitiesofnorthamericanshorebirdstoclimatechange,article,2014
The Global Effect of Black Tuesday,9930,elefectodadelasemananotieneimpactoenlaaparicindecomplicacionesomortalidadtraslareseccinpulmonarestudiodecohorteshistrico,article,2021
The Global Effect of Black Tuesday,9930,ontheredoxactivityandhealtheffectsofatmosphericprimaryandsecondaryaerosolphenomenology,article,2022
The Global Effect of Black Tuesday,9930,globalpatternsinpredatorpreysizerelationshipsrevealsizedependencyoftrophictransferefficiency,article,2010
The Global Effect of Black Tuesday,9930,wetatmosphericdepositionoforganiccarbonanunderreportedsourceofcarbontowatershedsinthenortheasternunitedstates,article,2017
The Global Effect of Black Tuesday,9930,thethreeseasinitiativeanditseconomicandgeopoliticaleffectontheeuropeanunionandcentralandeasterneurope,article,2019
The Global Effect of Black Tuesday,9930,7agstoriesyoumighthavemissed,article,2022
The Global Effect of Black Tuesday,9930,anewpictureoffireextentvariabilityanddroughtinteractioninprescribedfirelandscapesinsightsfromfloridagovernmentrecords,article,2018
The Global Effect of Black Tuesday,9930,photoacousticinsightforaerosollightabsorptionaloftfrommeteorologicalaircraftandcomparisonwithparticlesootabsorptionphotometermeasurementsdoesoutherngreatplainsclimateresearchfacilityandthecoastalstratocumulusimposedperturbationexperiments,article,2006
The Global Effect of Black Tuesday,9930,learninginlockdownusingthecovid19crisistoteachchildrenaboutfoodandclimatechange,article,2021
The Global Effect of Black Tuesday,9930,benjaminmaysglobalecumenismandlocalreligioussegregation,article,2007
The Global Effect of Black Tuesday,9930,transhemisphericeffectsoflargevolcaniceruptionsasrecordedbyanearly19thcenturydiary,article,2010
The Global Effect of Black Tuesday,9930,anoccupationalheathealthwarningsystemforeuropetheheatshieldplatform,article,2019
The Global Effect of Black Tuesday,9930,roughridersinthecradleofcivilizationbuffalobillswildwestshowinitalyandthechallengeofamericanculturalscarcityatthefindesicle,article,2017
The Global Effect of Black Tuesday,9930,innovationandconsumersascasualtiesofwaringlobaltechnologypatentbattles,article,2013
The Global Effect of Black Tuesday,9930,capitalistsworkersandhealthillnessasasideeffectofprofitmaking,article,2009
The Global Effect of Black Tuesday,9930,behavioralfinanceanditsimplicationintheuseoftheblacklittermanmodel,article,2012
The Global Effect of Black Tuesday,9930,thedayoftheweekeffectsouthafricanstockmarketindices,article,2018
The Global Effect of Black Tuesday,9930,climateadaptationofinterconnectedinfrastructuresaframeworkforsupportinggovernance,article,2013
The Global Effect of Black Tuesday,9930,weekendbiasincitizensciencedatareportingimplicationsforphenologystudies,article,2012
The Global Effect of Black Tuesday,9930,afreshcropofhumanmiseryrepresentationsofbosnianwarbabiesintheglobalprintmedia19912006,article,2009
The Global Effect of Black Tuesday,9930,fourdimensionalvariationalinversionofblackcarbonemissionsduringarctascarbwithwrfdachem,article,2017
The Global Effect of Black Tuesday,9930,ittakesavillagetheroleofemicandeticadaptivestrengthsinthepersistenceofblackmeninengineeringgraduateprograms,article,2019
The Global Effect of Black Tuesday,9930,temporaltrendsofblackcarbonconcentrationsandregionalclimateforcinginthesoutheasternunitedstates,article,2001
The Global Effect of Black Tuesday,9930,7agstoriesyoumighthavemissed,article,2022
The Global Effect of Black Tuesday,9930,7agstoriesyoumighthavemissed,article,2022
The Global Effect of Black Tuesday,9930,blackmondayinnewyorkbluetuesdayintokyotheoctober1987crashinjapan,article,1991
The Global Effect of Black Tuesday,9930,syntheticcarbohydratecompoundsandtheirintegrationwithrenewableelectricitysupplies,article,2018
The Global Effect of Black Tuesday,9930,globaleconomiccrisis20072010isitreallysorecentimplicationsforthefuturefromthelessonsofeconomichistory,article,2011
The Global Effect of Black Tuesday,9930,grownfolksradiouselectionpoliticsandahiddenblackcounterpublic,article,2012
The Global Effect of Black Tuesday,9930,fromendocrinedisruptorstonanomaterialsadvancingourunderstandingofenvironmentalhealthtoprotectpublichealth,article,2011
The Global Effect of Black Tuesday,9930,theweekdayeffectdoesnothaveanimpactonthedevelopmentofcomplicationsormortalityafterpulmonaryresectionretrospectivecohortstudy,article,2021
The Global Effect of Black Tuesday,9930,ofsilkroadsandglobaltransformationschinasriseanditsimpactonthedevelopingworld,article,2019
The Global Effect of Black Tuesday,9930,thecolorofchoicetheinfluenceofpresentingproductinformationincoloronthecompromiseeffect,article,2018
The Global Effect of Black Tuesday,9930,characterizationoffineparticulatematterinsharjahunitedarabemiratesusingcomplementaryexperimentaltechniques,article,2018
The Global Effect of Black Tuesday,9930,anthromesdisplayingevidenceofweeklycyclesinactivefiredatacover70ofthegloballandsurface,article,2019
The Global Effect of Black Tuesday,9930,blacksweatherwhitesclimate,article,2021
Economy Over Morals: Britain’s War for Drugs,9357,theguardiansofthewelfarestateuniversalcreditwelfarecontrolandthemoraleconomyoffrontlineworkinausteritybritain,article,2021
Economy Over Morals: Britain’s War for Drugs,9357,moralpanicsandpunctuatedequilibriuminpublicpolicyananalysisofthecriminaljusticepolicyagendainbritain,article,2020
Economy Over Morals: Britain’s War for Drugs,9357,abreedinggroundforterroristsafricabritainswaronterrorism,article,2004
Economy Over Morals: Britain’s War for Drugs,9357,humanrightsasmoralprogressacritique,article,2013
Economy Over Morals: Britain’s War for Drugs,9357,policingcrimeandbigdatatowardsacritiqueofthemoraleconomyofstochasticgovernance,article,2017
Economy Over Morals: Britain’s War for Drugs,9357,towardamoraleconomyofmoneymoneyasacreatureofdemocracy,article,2020
Economy Over Morals: Britain’s War for Drugs,9357,redeemingtheordinaryworkingclass,article,2020
Economy Over Morals: Britain’s War for Drugs,9357,mephedroneassassinofyouththerhetoricoffearincontemporarydrugscares,article,2014
Economy Over Morals: Britain’s War for Drugs,9357,upheavalinthemoraleconomyofsciencepatentingteamworkandtheworldwariiexperienceofpenicillin,article,2008
Economy Over Morals: Britain’s War for Drugs,9357,foodnervesandfertilityvariationsonthemoraleconomyofthebody17001920,article,2019
Economy Over Morals: Britain’s War for Drugs,9357,forapoliticaleconomyofmoralpanics,article,2011
Economy Over Morals: Britain’s War for Drugs,9357,wideningthefocusmoralpanicsasmoralregulation,article,2009
Economy Over Morals: Britain’s War for Drugs,9357,moralhazardsandmoraleconomiesthecombustiblepoliticsofhealthcareuserfeesinmalawianhistory,article,2014
Economy Over Morals: Britain’s War for Drugs,9357,moralframingsintheaustralianparliamentarydebateondrugtestingofwelfarerecipients,article,2022
Economy Over Morals: Britain’s War for Drugs,9357,twentyfirstcenturydrugwarriorsthepressprivateersandtheforprofitwagingofthewarondrugs,article,2011
Economy Over Morals: Britain’s War for Drugs,9357,abriefhistoryofbritishdrugpolicy18501950,article,2020
Economy Over Morals: Britain’s War for Drugs,9357,thematerialmoralandaffectiveworldsofdealingandcrimeamongyoungmenentrenchedinaninnercitydrugscene,article,2017
Economy Over Morals: Britain’s War for Drugs,9357,alcoholandpoliticsintwentiethcenturybritain,article,2019
Economy Over Morals: Britain’s War for Drugs,9357,beyondthebingeinboozebritainmarketledliminalizationandthespectacleofbingedrinking,article,2007
Economy Over Morals: Britain’s War for Drugs,9357,highpointsanhistoricalgeographyofcannabis,article,2014
Economy Over Morals: Britain’s War for Drugs,9357,thereputationalghettoterritorialstigmatisationinstpaulsbristol,article,2012
Economy Over Morals: Britain’s War for Drugs,9357,respectabilitymoralityanddisgustinthenighttimeeconomyexploringreactionstolapdanceclubsinenglandandwales,article,2015
Economy Over Morals: Britain’s War for Drugs,9357,mappingalcoholhealthpolicyandthegeographiesofproblemdrinkinginbritain,article,2008
Economy Over Morals: Britain’s War for Drugs,9357,thehistoryoftechnologicalanxietyandthefutureofeconomicgrowthisthistimedifferent,article,2015
Economy Over Morals: Britain’s War for Drugs,9357,pharmaceuticalnetworksthepoliticaleconomyofdrugdevelopmentintheunitedstates19451980,article,2009
Economy Over Morals: Britain’s War for Drugs,9357,moralpanicsandthetransgressiveother,article,2011
Economy Over Morals: Britain’s War for Drugs,9357,casestudiesofcorporaterelatedfinancialinstitutionspromotingselfishintereststhroughmoneylaunderingandassociatedunethicalbasedbusinesspractices,article,2014
Economy Over Morals: Britain’s War for Drugs,9357,breakingthemonopolysystemamericaninfluenceonthebritishdecisiontoprohibitopiumsmokingandenditsasianmonopolies19391945,article,2017
Economy Over Morals: Britain’s War for Drugs,9357,covid19andthesacrificialinternationalorder,article,2020
Economy Over Morals: Britain’s War for Drugs,9357,firstfttodaystopstories,article,2019
Economy Over Morals: Britain’s War for Drugs,9357,reproductionasspiritualkinworkorthodoxyivfandthemoraleconomyofmotherhoodingreece,article,2006
Economy Over Morals: Britain’s War for Drugs,9357,theopiumtradeandopiumpoliciesinindiachinabritainandtheunitedstateshistoricalcomparisonsandtheoreticalinterpretations,article,2002
Economy Over Morals: Britain’s War for Drugs,9357,themoralhazardsofneoliberalismlessonsfromtheprivateinsuranceindustry,article,2000
Economy Over Morals: Britain’s War for Drugs,9357,reformingexpectationsparliamentarypressureandmoralreform,article,2018
Economy Over Morals: Britain’s War for Drugs,9357,fromwelfaretolawfareenvironmentalsufferingneighbourdisputesandthelawinuksocialhousing,article,2018
Economy Over Morals: Britain’s War for Drugs,9357,penicillinandtheeuropeanresponsetopostwaramericanhegemonythecaseofleopenicillin,article,2014
Economy Over Morals: Britain’s War for Drugs,9357,thedearbornmeeting69november2014,article,2015
Economy Over Morals: Britain’s War for Drugs,9357,andareweyetalivemethodismingreatbritain19452010,article,2012
Economy Over Morals: Britain’s War for Drugs,9357,dynamicsofinterventioninthewarondrugsthebuilduptotheharrisonactof1914,article,2016
Economy Over Morals: Britain’s War for Drugs,9357,nolessafoethansatanhimselfthedeviltransitionandmoralpanicinwhitesouthafrica19891993,article,2012
Economy Over Morals: Britain’s War for Drugs,9357,aratherspectacularfigurethesocietydrugaddictin1930sbritain,article,2022
Economy Over Morals: Britain’s War for Drugs,9357,notenoughkillingtimeinlondonsitchypark,article,2021
Economy Over Morals: Britain’s War for Drugs,9357,anuncertaindominionirishpsychiatrymethadoneandthetreatmentofopiateabuse,article,2008
Economy Over Morals: Britain’s War for Drugs,9357,mappinghivrelatedfiguresofriskineuropesblooddonationregime,article,2021
Economy Over Morals: Britain’s War for Drugs,9357,rethinkingdrugs,article,2020
Economy Over Morals: Britain’s War for Drugs,9357,unintendedconsequencesofintimacypoliticaleconomiesofpeacekeepingandsextourism,article,2010
Economy Over Morals: Britain’s War for Drugs,9357,moralpanicsascivilisinganddecivilisingprocessesacomparativediscussion1,article,2013
Economy Over Morals: Britain’s War for Drugs,9357,specialneedscheerfulhabitssmokingandthegreatwarinbritain191418,article,2016
Economy Over Morals: Britain’s War for Drugs,9357,thepoliticaleconomyofglobalvaccinenationalismtowardsbuildingagencyforafricasdrugmanufacturingcapacity,article,2022
Economy Over Morals: Britain’s War for Drugs,9357,unintendedconsequenceschangesinorganiseddrugsupplyintheuk,article,2009
The Cost of Revolution: How the Cultural Revolution Divided China,26104,pickingupthelossestheimpactoftheculturalrevolutiononhumancapitalreinvestmentinurbanchina,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,chinataiwanportugalrelationsandmacauinculturalrevolutionayearofadvancewithdrawalandisolation,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,26104,entrepreneurshipcultureandtheepigeneticrevolutionaresearchnote,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,developmentofthechineseconstructionindustryaftertheculturalrevolutionadministrationframeworkeconomicgrowthandmarketstructure,article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,26104,noculturalrevolutioncontinuityandchangeinconsumptionpatternsincontemporarychina,article,2017
The Cost of Revolution: How the Cultural Revolution Divided China,26104,maoslastrevolutionadictatorsloyaltycompetencetradeoff,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thesilentrevolutiondecollectivizationfrombelowduringtheculturalrevolution,article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,26104,propagandaonshellacvinylandplasticthepoliticsofrecordproductionduringtheculturalrevolutioninchina196676,article,2017
The Cost of Revolution: How the Cultural Revolution Divided China,26104,zooarchaeologicalperspectiveonthebroadspectrumrevolutioninthepleistoceneholocenetransitionalperiodwithevidencefromshuidonggoulocality12china,article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,26104,theculturalrevolutionanditslegaciesininternationalperspective,article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,26104,theeconomiccostoftheislamicrevolutionandwarforiransyntheticcounterfactualevidence,article,2022
The Cost of Revolution: How the Cultural Revolution Divided China,26104,lostintransformationtheemploymenttrajectoriesofchinasculturalrevolutioncohort,article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,26104,chinasprereformurbantransformationthecaseofhangzhouduringtheculturalrevolution19661976,article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,26104,chinesesocietyamidmaosgreatproletarianculturalrevolutiontherootsandnatureofthetragedy,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,alatemaoistindustrialrevolutioneconomicgrowthinjiangsuprovince19661978,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,theneoliberalrevolution,article,2011
The Cost of Revolution: How the Cultural Revolution Divided China,26104,beyondthehiddenagriculturalrevolutionandchinasoverseaslandinvestmentmaintrendsinchinasagricultureandfoodsector,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,fromthefirstfiveyearplantotheculturalrevolutiontheprereformurbantransformationofhangzhouchina,article,2015
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thestructureofcharismaticmobilizationacasestudyofrebellionduringthechineseculturalrevolution,article,2007
The Cost of Revolution: How the Cultural Revolution Divided China,26104,rebellionandrepressioninchina19661971,article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,26104,organizingtheenvironmentalgovernanceoftherareearthindustrychinaspassiverevolution,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,differentasiassameproblemsnegotiatingthestateuserinterfaceinsurfaceirrigationinchinaandindia,article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thequietrevolutionthattransformedwomensemploymenteducationandfamily,article,2006
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thefluctuationsofchinaseconomicgrowthsincethereformandopeningupandtherationalcountermeasures,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,copingwithcrisisinthewakeoftheculturalrevolutionrehistoricisingchinesepostsocialism,article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thefirstuprisingoftheculturalrevolutionatnanjinguniversitydynamicsnatureandinterpretation,article,2010
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thegreatproletarianculturalrevolutionchinasmoderntrauma,article,2009
The Cost of Revolution: How the Cultural Revolution Divided China,26104,sickreturneesamongchinassentdownyouthandcontemporarychinesepracticesofidentityperformance,article,2021
The Cost of Revolution: How the Cultural Revolution Divided China,26104,ageandthecostofbeinguyghursinrmchi,article,2012
The Cost of Revolution: How the Cultural Revolution Divided China,26104,decentralizationofpoliticaldesigninchina,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,26104,sexratiosandthereddragonusingthechinesecommunistrevolutiontoexploretheeffectofthesexratioonwomenandchildrenintaiwan,article,2011
The Cost of Revolution: How the Cultural Revolution Divided China,26104,fromtrashtotreasuresalvagearchaeologyinthepeoplesrepublicofchina19511976,article,2016
The Cost of Revolution: How the Cultural Revolution Divided China,26104,controllingcorruptioninthepartychinascentraldisciplineinspectioncommission,article,2014
The Cost of Revolution: How the Cultural Revolution Divided China,26104,asexualityinchinassexualrevolutionasexualmarriageascopingstrategy,article,2015
The Cost of Revolution: How the Cultural Revolution Divided China,26104,chinaandthespecialproceduresoftheunhumanrightscouncilischinacooperativeandcantheyworkbetterwitheachother,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,26104,revisitingcollectivismandruralgovernanceinchinathesingularityofthezhoujiazhuangpeoplescommune,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,26104,epicnarrativesofthegreenrevolutioninbrazilchinaandindia,article,2021
The Cost of Revolution: How the Cultural Revolution Divided China,26104,deifyingcommunistsoldiersthecoastaldefencecultureandthecontinuationofapotheosisincontemporarychina,article,2012
The Cost of Revolution: How the Cultural Revolution Divided China,26104,leadingsmallgroupsinchinasintercitygovernmentalcooperation,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,26104,femalewarriorsareproductionofpatriarchalnarrativeofhuamulaninthereddetachmentofwomen1972,article,2020
The Cost of Revolution: How the Cultural Revolution Divided China,26104,comingofageintimesofchangethetransitiontoadulthoodinchina,article,2013
The Cost of Revolution: How the Cultural Revolution Divided China,26104,economicreformofchinacauseandeffects,article,2011
The Cost of Revolution: How the Cultural Revolution Divided China,26104,maoistdiscourseandthemobilizationofemotionsinrevolutionarychina,article,2010
The Cost of Revolution: How the Cultural Revolution Divided China,26104,theriseandfallofmiddlefarmersaccumulationanddifferentiationintheteaconsumptionrevolutioninchina,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,chinathedevelopmentofthehealthsystemduringthemaoistperiod194976,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,technologyandmanufacturinginchinabeforetheindustrialrevolutionandglimpsesofthefuture,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,thevisiblehandtheroleofgovernmentinchinaslongawaitedindustrialrevolution,article,2019
The Cost of Revolution: How the Cultural Revolution Divided China,26104,fromswedentosingaporetherelevanceofforeignmodelsforchinasrise,article,2018
