paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format,Column,Column2,Column3,Column4
219,The Global Effect of Black Tuesday,"Goldberg, David J. ""Rethinking the 1920S: Historians and Changing Perspectives."" OAH Magazine of History 21, no. 3 (2007): 7-10. Accessed May 2, 2021. http://www.jstor.org/stable/25162122.",rethinkingthe1920shistoriansandchangingperspectives,Yes,Article,,,,
221,Economy Over Morals: Britain’s War for Drugs,"Wasserstrom, Jeffrey N. The Oxford Illustrated History of Modern China Oxford: Oxford University Press, Incorporated, 2016. https://searchit.libraries.wsu.edu/primo- explore/fulldisplay?docid=TN_cdi_askewsholts_vlebooks_9780191506710&context=PC &vid=WSU&lang=en_US&search_scope=WSU_everything&adaptor=primo_central_m ultiple_fe&tab=default_tab&query=any,contains,history%20of%20modern%20china&of fset=0",historyofmodernchina,Yes,Ebook,,,,
221,Economy Over Morals: Britain’s War for Drugs,"Chen, Song-Chuan. Merchants of War and Peace. 1st ed. HK: Hong Kong University Press, 2017.https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_askewsholts_vlebook s_9789888390274",merchantsofwarandpeace,Yes,Ebook,,,,
221,Economy Over Morals: Britain’s War for Drugs,"Kaori, and ????. ""The Anglo-Chinese Propaganda Battles: British, Qing and Cantonese Intellectuals and the First Opium War in Canton / ???????????????????????????."" Journal of the Royal Asiatic Society Hong Kong Branch 56 (2016): 172-93. Accessed February 13, 2021. http://www.jstor.org/stable/jroyaaisasocihkb.56.172",theanglochinesepropagandabattlesbritishqingandcantoneseintellectualsandthefirstopiumwarincanton,Yes,Article,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"Cupp, Christian M., and Phyllis Levine. “The DTIC Review, Urban Warfare. Volume 4, Number 4,” 1999. https://doi.org/10.21236/ada366079.",thedticreviewurbanwarfare,Yes,Reports,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"Dutt. “China's Cultural Revolution [by] Gargi Dutt [and] V. P. Dutt.” HathiTrust. Accessed May 4, 2021. https://babel.hathitrust.org/cgi/pt? id=mdp.39015020642420&view=1up&seq=139&q1=civil.",chinasculturalrevolution,Yes,Print Book,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"Guoqiang, Dong, and Andrew G. Walder. “Local Politics in the Chinese Cultural Revolution: Nanjing Under Military Control.” The Journal of Asian Studies 70, no. 2 (2011): 425–47. https://doi.org/10.1017/s0021911811000039.",localpoliticsinthechineseculturalrevolutionnanjingundermilitarycontrol,Yes,Article,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"“The Mao Cult as Communicative Space.” Taylor & Francis. Accessed May 4, 2021. https:// www.tandfonline.com/doi/full/10.1080/14690760701571247.",themaocultascommunicativespace,Yes,Article,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"Nelsen, Harvey. “Military Forces in the Cultural Revolution.” The China Quarterly 51 (1972): 444–74. https://doi.org/10.1017/s0305741000052243.",militaryforcesintheculturalrevolution,Yes ,Article,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"“Red Guards.” Encyclopædia Britannica. Encyclopædia Britannica, inc. Accessed May 4, 2021. https://www.britannica.com/topic/Red-Guards.",redguards,Yes,Reference Entry,,,,
223,The Cost of Revolution: How the Cultural Revolution Divided China,"Strauss, Valerie, and Daniel Southerl. “HOW MANY DIED? NEW EVIDENCE SUGGESTS FAR HIGHER NUMBERS FOR THE VICTIMS OF MAO ZEDONG'S ERA.” Washington Post. WP Company, July 17, 1994. https://www.washingtonpost.com/ archive/politics/1994/07/17/how-many-died-new-evidence-suggests-far-higher-numbers- for-the-victims-of-mao-zedongs-era/01044df5-03dd-49f4-a453-a033c5287bce/.",howmanydiednewevidencesuggestsfarhighernumbersforthevictimsofmaozedongsera,Yes,Newspaper Article,,,,
227,Nuclear Power and Changing Perspectives,"Geist, Edward. ""Political Fallout: The Failure of Emergency Management at Chernobyl'."" Slavic Review 74, no. 1 (2015): 104-26. Accessed April 30, 2021. doi:10.5612/slavicreview.74.1.104.",politicalfalloutthefailureofemergencymanagementatchernobyl,Yes,Article,,,,
229,Thought and the Greater Coalition: Drama and Democracy,"Konstan, David. Greek Comedy and Ideology. New York: Oxford University Press, 1995.  ",greekcomedyandideology,Yes,Ebook,,,,
229,Thought and the Greater Coalition: Drama and Democracy,"Hall, Edith. The Theatrical Cast of Athens. Oxford: Oxford University Press, 2006.  ",thetheatricalcastofathens,Yes,Ebook,,,,
229,Thought and the Greater Coalition: Drama and Democracy,"Adams- Cohen, Nicholas, ""Policy Change and Public Opinion: Measuring Shifting Political Sentiment With Social Media Data"". American Politics Research. September 2020.  https://ntserver1.wsulibs.wsu.edu:2120/api/document?collection=news&id=urn:contentItem:6123-8R81-JBMY-H3KJ-00000-00&context=1516831. ",policychangeandpublicopinionmeasuringshiftingpoliticalsentimentwithsocialmediadata,Yes,Article,,,,
229,Thought and the Greater Coalition: Drama and Democracy,"Carter, D. M. ""The Demos in Greek Tragedy."" The Cambridge Classical Journal 56 (2010): 47-94. Accessed March 2, 2021. http://www.jstor.org/stable/44698383. ",thedemosingreektragedy,Yes,Article,,,,
229,Thought and the Greater Coalition: Drama and Democracy,"Halpern, Richard. ""Theater and Democratic Thought: Arendt to Rancière."" Critical Inquiry 37, no. 3 (2011): 545-72. Accessed February 14, 2021. doi:10.1086/659358. https://www.jstor.org/stable/10.1086/659358 ",theateranddemocraticthoughtarendttorancire,Yes,,,,,
233,The Importance of Institutionalizing Intersectionality in Globalization,"Chow, Esther Ngan-ling, Segal, Marcia Texler, and Lin. Analyzing Gender, Intersectionality, and Multiple Inequalities: Global-Transnational and Local Contexts. Emerald Publishing Limited, 2011. ProQuest Ebook Central.",analyzinggenderintersectionalityandmultipleinequalitiesglobaltransnationalandlocalcontexts,Yes,Ebook,,,,
233,The Importance of Institutionalizing Intersectionality in Globalization,"Gita, ed. The Remaking of Social Contracts : Feminists in a Fierce New World. (London, England) ZedBooks, 2014. ProQuest Ebook Central.",theremakingofsocialcontractsfeministsinafiercenewworld,Yes,Ebook,,,,
233,The Importance of Institutionalizing Intersectionality in Globalization,"Oostendorp, Remco H. ""Globalization and the Gender Wage Gap."" The World Bank Economic Review 23, no. 1 (2009): 141-61.",globalizationandthegenderwagegap,Yes,Article,,,,
235,Activism Before and After the Civil Rights Movement,"Hall Jacquelyn Dowd, The Long Civil Rights Movement, and the Political Uses of the Past, Organization of American Historians, Oxford University press, 2005.",thelongcivilrightsmovementandthepoliticalusesofthepast,Yes,Article,,,,
235,Activism Before and After the Civil Rights Movement,"Slyomovics S, Joseph S, Women and Power in the Middle East, University of Pennsylvania Press, 2001",womenandpowerinthemiddleeast,Yes,Ebook,,,,
237,A Bread Line for Every City: How the American Market Crash of 1929 Heralded the Great Depression,"Bauer, P. T. “Some Aspects of the Malayan Rubber Slump 1929-1933.” Economica 11, no. 44 (November 1944): 190–198. https://doi.org/10.2307/2549353.",someaspectsofthemalayanrubberslump19291933,Yes,Article,,,,
237,A Bread Line for Every City: How the American Market Crash of 1929 Heralded the Great Depression,"Drabble, John H. An Economic History of Malaysia: c. 1800-1990: the Transition to Modern Economic Growth. Basingstoke: Macmillan, 2000.",aneconomichistoryofmalaysiac18001990thetransitiontomoderneconomicgrowth,Yes,Print Book,,,,
237,A Bread Line for Every City: How the American Market Crash of 1929 Heralded the Great Depression,"Irwin, Douglas. “The Smoot-Hawley Tariff: A Quantitative Assessment.” The review of economics and statisticcs 80, no. 2 (May 1998): 326–34. https://doi.org/10.3386/w5509.",thesmoothawleytariffaquantitativeassessment,Yes,Article,,,,
237,A Bread Line for Every City: How the American Market Crash of 1929 Heralded the Great Depression,"Kitson, Michael, and Solomos Solomou. “The Macroeconomics of Protectionism: the Case of Britain in the 1930s.” Cambridge Journal of Economics 13, no. 1 (March 1989): 155–69. https://doi.org/10.1093/oxfordjournals.cje.a035080.",themacroeconomicsofprotectionismthecaseofbritaininthe1930s,Yes,Article,,,,
239,The Historical Roots of Vaccine Resistance,"DURBACH, NADJA. ""Introduction."" In Bodily Matters: The Anti-Vaccination Movement in England, 1853–1907, 1-12. Durham; London: Duke University Press, 2005. Accessed April 24, 2021. http://www.jstor.org/stable/j.ctv11cw047.4.",introduction,Yes,Ebook,,,,
239,The Historical Roots of Vaccine Resistance,"Daniel Trambaiolo. “Vaccination and the Politics of Medical Knowledge in Nineteenth-Century Japan.” Bulletin of the History of Medicine 88, no. 3 (2014): 431–56. https://doi.org/10.1353/bhm.2014.0047.",vaccinationandthepoliticsofmedicalknowledgeinnineteenthcenturyjapan,Yes,Article,,,,
239,The Historical Roots of Vaccine Resistance,"Duffy, John. ""School Vaccination: The Precursor to School Medical Inspection."" Journal of the History of Medicine and Allied Sciences 33, no. 3 (1978): 344-55. Accessed February 19, 2021",schoolvaccinationtheprecursortoschoolmedicalinspection,Yes,Article,,,,
239,The Historical Roots of Vaccine Resistance,"Holmberg, Christine, Stuart Blume, and Paul Greenough, eds. The Politics of Vaccination: A Global History. Manchester: Manchester University Press, 2017. Accessed April 25, 2021. http://www.jstor.org/stable/j.ctt1wn0s1m. ",thepoliticsofvaccinationaglobalhistory,Yes,Ebook,,,,
239,The Historical Roots of Vaccine Resistance,"James Colgrove, Ronald Bayer, “Manifold Restraints: Liberty, Public Health, and the Legacy of Jacobson v Massachusetts”, American Journal of Public Health 95, no. 4 (April 1, 2005): pp. 571-576.",manifoldrestraintslibertypublichealthandthelegacyofjacobsonvmassachusetts,Yes,Article,,,,
239,The Historical Roots of Vaccine Resistance,"Mesch, Gustavo S., PhD, and Schwirian, Kent P., PhD. “Social and Political Determinants of Vaccine Hesitancy: Lessons Learned from the H1N1 Pandemic of 2009-2010.” American Journal of Infection Control 43, no. 11 (2015): 1161–65. https://doi.org/10.1016/j.ajic.2015.06.031.",socialandpoliticaldeterminantsofvaccinehesitancylessonslearnedfromtheh1n1pandemicof20092010,Yes,Article,,,,
239,The Historical Roots of Vaccine Resistance,"FedFlix: We Heard the Bells--The Influenza of 1918, n.d.",weheardthebellstheinfluenzaof1918,Yes,Evideo,,,,
241,Globalization: From Industrial Revolution to Today,"Globalization, Employment and Agriculture: A Statement of the Eleventh Forum of the World Association for Political Economy. World Review of Political Economy 7, no. 4 (2016): 537-40.",globalizationemploymentandagricultureastatementoftheeleventhforumoftheworldassociationforpoliticaleconomy,Yes,Article,,,,
241,Globalization: From Industrial Revolution to Today,"Griffin, Emma. Liberty's Dawn: A People's History of the Industrial Revolution. New Haven, CT: Yale University Press, 2013.",libertysdawnapeopleshistoryoftheindustrialrevolution,Yes,Ebook,,,,
241,Globalization: From Industrial Revolution to Today,"Leslie Tomory, “Technology in the British Industrial Revolution” History Compass 14, no. 4 (2016): 152–67. ",technologyinthebritishindustrialrevolution,Yes,Article,,,,
241,Globalization: From Industrial Revolution to Today,"Osterhammel, Ju?rgen, and Niels P. Petersson. 2005. Globalization: a short history. Princeton, N.J.: Princeton University Press",globalizationashorthistory,Yes,Ebook,,,,
241,Globalization: From Industrial Revolution to Today,"The First Maritime Circumnavigation of the Globe ."" Science and Its Times: Understanding the Social Significance of Scientific Discovery. Encyclopedia.com. April 16, 2021.",thefirstmaritimecircumnavigationoftheglobe,Yes,Reference Entry,,,,
243,The Soviet Roots of Contemporary Religious Persecution within Communism,"Bemporad, Elissa. “Behavior Unbecoming a Communist: Jewish Religious Practice in Soviet Minsk.” Jewish Social Studies 14, no. 2 (2008) 1-31. ",behaviorunbecomingacommunistjewishreligiouspracticeinsovietminsk,Yes,Article,,,,
243,The Soviet Roots of Contemporary Religious Persecution within Communism,"Froese, Paul. “Forced Secularization in Soviet Russia: Why an Atheistic Monopoly Failed.” Journal for the Scientific Study of Religion 43, no. 1 (2004): 35-50.",forcedsecularizationinsovietrussiawhyanatheisticmonopolyfailed,Yes,Article,,,,
243,The Soviet Roots of Contemporary Religious Persecution within Communism,"Kuromiya, Hiroaki. Conscience on Trial: The Fate of Fourteen Pacifists in Stalin’s Ukraine, 1952-1953, Toronto: University of Toronto Press, 2012.",conscienceontrialthefateoffourteenpacifistsinstalinsukraine19521953,Yes,Ebook,,,,
243,The Soviet Roots of Contemporary Religious Persecution within Communism,"Thrower, James. Marxist-Leninist ‘Scientific Atheism’ and the Study of Religion and Atheism in the USSR. Berlin/Boston: De Gruyter, Inc., 1983.",marxistleninistscientificatheismandthestudyofreligionandatheismintheussr,Yes,Ebook,,,,
245,Women's Struggle During and After the Apartheid,"Adeagbo, Josephine Morolake. ""The Impact of Gender and Residential Background on Racial Integration: Evidence from a South African University."" African Sociological Review / Revue Africaine De Sociologie 22, no. 1 (2018): 81-93. JSTOR.",theimpactofgenderandresidentialbackgroundonracialintegrationevidencefromasouthafricanuniversity,Yes,Article,,,,
245,Women's Struggle During and After the Apartheid,"Dubow, Saul. Apartheid, 1948-1994. Oxford:Oxford University Press, Incorporated, 2014. ProQuest Ebook Central.",apartheid19481994,Yes,Ebook,,,,
245,Women's Struggle During and After the Apartheid,"Ginsburg, Rebecca. At Home with Apartheid: The Hidden Landscapes of Domestic Service in Johannesburg. Charlottesville: University of Virginia Press, 2011. ProQuest Ebook Central.",athomewithapartheidthehiddenlandscapesofdomesticserviceinjohannesburg,Yes,Ebook,,,,
245,Women's Struggle During and After the Apartheid,"Meer, Shamim. ""Freedom for Women: Mainstreaming Gender in the South African Liberation Struggle and Beyond."" Gender and Development 13, no. 2 (2005): 36-45. JSTOR",freedomforwomenmainstreaminggenderinthesouthafricanliberationstruggleandbeyond,Yes,Article,,,,
247,The Pay of Women and Their Rights Over Time,"Bruley, Sue. ""'It Didn't Just Come out of Nowhere Did It?': The Origins of the Women's Liberation Movement in 1960s Britain."" Oral History 45, no. 1 (2017): 67-78. Accessed February 21, 2021. http://www.jstor.org/stable/26382544. ",itdidntjustcomeoutofnowheredidittheoriginsofthewomensliberationmovementin1960sbritain,Yes,Article,,,,
247,The Pay of Women and Their Rights Over Time,"Clisby, Suzanne, and Holdsworth, Julia. Gendering Women?: Identity and Mental Wellbeing through the Lifecourse. 1st ed. Vol. 48419. Bristol: Bristol University Press, 2014. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_askewsholts_vlebooks_9781847426789 ",genderingwomenidentityandmentalwellbeingthroughthelifecourse,Yes,Ebook,,,,
247,The Pay of Women and Their Rights Over Time,"Kenner, Jeff. EU Employment Law: From Rome to Amsterdam and Beyond. London: Hart Publishing Ltd, 2002. https://searchit.libraries.wsu.edu/permalink/f/1jnr272/TN_cdi_askewsholts_vlebooks_9781847312471",employmentlawfromrometoamsterdamandbeyond,Yes,Ebook,,,,
247,The Pay of Women and Their Rights Over Time,"Whiting, Richard. ""The Reform of Working Life in Britain, 1963-1971."" The Historical Journal 50, no. 2 (2007): 423-48. Accessed February 21, 2021. http://www.jstor.org/stable/4140137.",thereformofworkinglifeinbritain19631971,Yes,Article,,,,
249,The Suffering of the North Korean Society with Destructive Dictatorship,"Armstrong, Charles. The North Korean Revolution, 1945-1950. Ithaca, NY: Cornell University Press, 2013.",thenorthkoreanrevolution19451950,Yes,Ebook,,,,
249,The Suffering of the North Korean Society with Destructive Dictatorship,"Lankov, Andrei. “Trouble Brewing: The North Korean Famine of 1954-1955 and Soviet Attitudes toward North Korea.” Journal of Cold War Studies 22 (2020): 25. Muse.jhu.edu/article/756823. ",troublebrewingthenorthkoreanfamineof19541955andsovietattitudestowardnorthkorea,Yes,Article,,,,
249,The Suffering of the North Korean Society with Destructive Dictatorship,"Noland, Marcus, Robinson, Sherman, and Tao Wang, “Famine in North Korea: Causes and Cures.” Economic Development and Cultural Change 49, no. 4 (2001): 743, https://www.jstor.org/stable/10.1086/452523",famineinnorthkoreacausesandcures,Yes,Article,,,,
249,The Suffering of the North Korean Society with Destructive Dictatorship,"Tarbell, Robert. A History of the Korean People in Modern Times: 1800 to the Present. Newark: University of Delaware Press; London: Associated University Presses, 1993.",ahistoryofthekoreanpeopleinmoderntimes1800tothepresent,Yes,Print Book,,,,
249,The Suffering of the North Korean Society with Destructive Dictatorship,"Taylor, Moe. “One Hand Can’t Clap: Guyana and North Korea, 1974 – 1985.” Journal of Cold War Studies 17 (2015): 41-63. Muse.jhu.edu/article/581230.",onehandcantclapguyanaandnorthkorea19741985,Yes,Article,,,,
253,How the industrialization of Farming can has shown to have had a negative and has led to a rise of Corporate Farming,"Harvey Fisk & Sons The tractor industry and its part in power farming, with descriptions of Allis-Chalmer Manufacturing Company, Caterpillar Tractor Co., Hart-Parr Company Minneapolis Steel & Machinery Company. 1929",thetractorindustryanditspartinpowerfarmingwithdescriptionsofallischalmermanufacturingcompanycaterpillartractorcohartparrcompanyminneapolissteelmachinerycompany,Yes,Ebook,,,,
253,How the industrialization of Farming can has shown to have had a negative and has led to a rise of Corporate Farming,"Smith, Robert; Laing Audrey; McElwee, Gerard The rise of illicit Rural Enterprise within the Farming Industry International Journal of Agricultural Management 2013",theriseofillicitruralenterprisewithinthefarmingindustry,Yes,Article,,,,
253,How the industrialization of Farming can has shown to have had a negative and has led to a rise of Corporate Farming,Luther G. Tweeten Causes and Consequences of Structural change in the farming Industry Washington D.C.: National Planning Association 1984,causesandconsequencesofstructuralchangeinthefarmingindustry,Yes,Print Book,,,,
255,Disaster,"Brozan, Nadine. “EMOTIONAL EFFECTS OF NATURAL DISASTERS.” The New York Times, The New York Times, 27 June 1983, www.nytimes.com/1983/06/27/style/emotional-effects-of-natural-disasters.html.",emotionaleffectsofnaturaldisasters,Yes,Newspaper Article,,,,
255,Disaster,"Park Historic Structures Cultural Landscapes Program , issuing body. Geophysical Survey Techniques. U.S. Department of the Interior, National Park Service, Cultural Resources, Park Historic Structures & Cultural Landscapes; 1998.",geophysicalsurveytechniques,Yes,Ebook,,,,
255,Disaster,"Squatriti, Paolo. ""The Floods of 589 and Climate Change at the Beginning of the Middle Ages: An Italian Microhistory."" Speculum 85, no. 4 (2010)",thefloodsof589andclimatechangeatthebeginningofthemiddleagesanitalianmicrohistory,Yes,Article,,,,
255,Disaster,"Ahram, Ariel I. ""DEVELOPMENT, COUNTERINSURGENCY, AND THE DESTRUCTION OF THE IRAQI MARSHES."" International Journal of Middle East Studies 47, no. 3 (2015)",developmentcounterinsurgencyandthedestructionoftheiraqimarshes,Yes,Article,,,,
257,"Earth Day: Environmental Activism, Pollution, and the Steps Towards a Clean Earth","Dunaway, Finis. “Gas Masks, Pogo, and the Ecological Indian: Earth Day and the Visual Politics of American Environmentalism,” American Quarterly March 2008. https://ntserver1.wsulibs.wsu.edu:2522/article/233109/pdf. ",gasmaskspogoandtheecologicalindianearthdayandthevisualpoliticsofamericanenvironmentalism,Yes,Article,,,,
257,"Earth Day: Environmental Activism, Pollution, and the Steps Towards a Clean Earth","Reportlinker Review: Analysis of the US Environmental Protection Agency’s Clean Power Plan: Significant Impact Across the Power Supply Industry in the United States and Asia-Pacific.” PR Newswire, Oct 05, 2015.",reviewanalysisoftheusenvironmentalprotectionagencyscleanpowerplansignificantimpactacrossthepowersupplyindustryintheunitedstatesandasiapacific,Yes,Newspaper Article,,,,
257,"Earth Day: Environmental Activism, Pollution, and the Steps Towards a Clean Earth","Robertson, Thomas. “The Malthusian Moment: Global Population Growth and the Birth of American Environmentalism.” ProQuest Ebook Central, 2012. https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/reader.action?docID=999509. ",themalthusianmomentglobalpopulationgrowthandthebirthofamericanenvironmentalism,Yes,Ebook,,,,
257,"Earth Day: Environmental Activism, Pollution, and the Steps Towards a Clean Earth","Rome, Adam. “The Genius of Earth Day.” Environmental history,  15(2), https://www.jstor.org/stable/20749669. ",thegeniusofearthday,Yes,Article,,,,
257,"Earth Day: Environmental Activism, Pollution, and the Steps Towards a Clean Earth","Stradling, David, and William Cronon. “The Environmental Moment: 1968-1972.” ProQuest Ebook Central, 2012. https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/reader.action?docID=4305939.",theenvironmentalmoment19681972,Yes,Ebook,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Chandra, Siddharth, Julia Christensen, and Shimon Likhtman. “Connectivity and Seasonality: the 1918 Influenza and COVID-19 Pandemics in Global Perspective.” Journal of Global History 15, no. 3 (2020): 408–20. doi:10.1017/S1740022820000261.",connectivityandseasonalitythe1918influenzaandcovid19pandemicsinglobalperspective,Yes,Article,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Clay, K., Lewis, J., & Severnini, E. (2018). Pollution, Infectious Disease, and Mortality: Evidence from the 1918 Spanish Influenza Pandemic. The Journal of Economic History,78(4), 1179-1209. doi:10.1017/S002205071800058X",pollutioninfectiousdiseaseandmortalityevidencefromthe1918spanishinfluenzapandemic,Yes,Article,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"McLean, Duncan. 2014. “Gold, Fire and Gallows: Quarantine in History.” History Today 64(12): 46–48. https://ntserver1.wsulibs.wsu.edu:2148/login.aspx?direct=true&db=ulh&AN=9999895&site=ehost-live.",goldfireandgallowsquarantineinhistory,Yes,Article,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Peckham, Robert. “Viral Surveillance and the 1968 Hong Kong Flu Pandemic.” Journal of Global History 15, no. 3 (2020): 444–58. doi:10.1017/S1740022820000224.",viralsurveillanceandthe1968hongkongflupandemic,Yes,Article,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Rice, Geoffrey W. “How Reminders of the 1918–19 Pandemic Helped Australia and New Zealand Respond to COVID-19.” Journal of Global History 15, no. 3 (2020): 421–33. doi:10.1017/S1740022820000285.",howremindersofthe191819pandemichelpedaustraliaandnewzealandrespondtocovid19,Yes,Article,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Snowden, Frank M. 2019. Epidemics and Society?: From the Black Death to the Present. The Open Yale Courses Series. New Haven: Yale University Press. https://ntserver1.wsulibs.wsu.edu:2148/login.aspx?direct=true&db=nlebk&AN=2260665&site=ehost-live. (44, 59)",epidemicsandsocietyfromtheblackdeathtothepresent,Yes,Ebook ,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Sumich, Christi. Divine Doctors and Dreadful Distempers : How Practicing Medicine Became a Respectable Profession. New York: BRILL, 2013. Accessed April 20, 2021. ProQuest Ebook Central.",divinedoctorsanddreadfuldistempershowpracticingmedicinebecamearespectableprofession,Yes,Ebook,,,,
259,Pandemics Then and Now: Have we learned anything from History?,"Yarmand, Hamed, and Julie S Ivy. “Optimal Intervention Strategies for an Epidemic: A Household View.” SIMULATION 89, no. 12 (December 2013): 1505–22. https://doi.org/10.1177/0037549713505333.",optimalinterventionstrategiesforanepidemicahouseholdview,Yes,Article,,,,
263,Inuit Culture,"Collings, Peter. “Subsistence Hunting and Wildlife Management in the Central Canadian Arctic.” Arctic Anthropology 34, no. 1 (1997): 41–56. https://ntserver1.wsulibs.wsu.edu:2148/login.aspx?direct=true&db=a9h&AN=9712143169&site=ehost-live. ",subsistencehuntingandwildlifemanagementinthecentralcanadianarctic,Yes,Article,,,,
263,Inuit Culture,"Condon, Richard G., Peter Collings, and George Wenzel. ""The Best Part of Life: Subsistence Hunting, Ethnicity, and Economic Adaptation among Young Adult Inuit Males."" Arctic 48, no. 1 (1995): 31-46. Accessed February 19, 2021. http://www.jstor.org/stable/40511615.",thebestpartoflifesubsistencehuntingethnicityandeconomicadaptationamongyoungadultinuitmales,Yes,Article,,,,
263,Inuit Culture,"Morse, Bradford. “Aboriginal Peoples and the Law”. Montreal: McGill-Queen's University Press, 1985. Accessed February 19, 2021: ProQuest Ebook Central.",aboriginalpeoplesandthelaw,Yes,Ebook,,,,
263,Inuit Culture,"Sandlos, John, K. Hunters at the Margin : Native People and Wildlife Conservation in the Northwest Territories. Vancouver: UBC Press, 2007. Accessed February 19, 2021. Proquest Ebook Central.",huntersatthemarginnativepeopleandwildlifeconservationinthenorthwestterritories,Yes,Ebook,,,,
267,The roots of Guatemala’s Contemporary Immigration Crisis,"Colby JM. , “The Business of Empire United Fruit, Race, and U.S. Expansion in Central America” Cornell University Press; 2011. ",thebusinessofempireunitedfruitraceandusexpansionincentralamerica,Yes,Print Book,,,,
